mfh_id,official_name,normalized_name,alias_names,alias_pinyin,source_batch,source_year,announcement_no,restriction_note,source_url,status,search_term,herb_id,herb_link,herb_pinyin_name,herb_chinese_name,herb_english_name,herb_latin_name
MFH0015,甘草,甘草,甘草,GAN CAO,2002_base,2002,卫法监发〔2002〕51号,,https://www.nhc.gov.cn/wjw/gfxwj/200203/5e9768a72af64db89acb45fe30a810af.shtml,active,GAN CAO,HERB000779,/Detail/?v=HERB000779&label=Herb,CHENG GAN CAO,秤杆草,Japanese Eupatorium,Eupatorium japonicum
MFH0015,甘草,甘草,甘草,GAN CAO,2002_base,2002,卫法监发〔2002〕51号,,https://www.nhc.gov.cn/wjw/gfxwj/200203/5e9768a72af64db89acb45fe30a810af.shtml,active,GAN CAO,HERB000915,/Detail/?v=HERB000915&label=Herb,CI GUO GAN CAO,刺果甘草,Pricklyfruit Licorice,Glycyrrhiza pallidiflora
MFH0015,甘草,甘草,甘草,GAN CAO,2002_base,2002,卫法监发〔2002〕51号,,https://www.nhc.gov.cn/wjw/gfxwj/200203/5e9768a72af64db89acb45fe30a810af.shtml,active,GAN CAO,HERB000974,/Detail/?v=HERB000974&label=Herb,CU MAO GAN CAO,粗毛甘草,Hirsute Licorice,Glycyrrhiza aspera
MFH0015,甘草,甘草,甘草,GAN CAO,2002_base,2002,卫法监发〔2002〕51号,,https://www.nhc.gov.cn/wjw/gfxwj/200203/5e9768a72af64db89acb45fe30a810af.shtml,active,GAN CAO,HERB001779,/Detail/?v=HERB001779&label=Herb,GAN CAO,甘草,Root of Ural Licorice,Radix Glycyrrhizae
MFH0015,甘草,甘草,甘草,GAN CAO,2002_base,2002,卫法监发〔2002〕51号,,https://www.nhc.gov.cn/wjw/gfxwj/200203/5e9768a72af64db89acb45fe30a810af.shtml,active,GAN CAO,HERB001780,/Detail/?v=HERB001780&label=Herb,GAN CAO JIE,甘草节,Glycyrrhiza uralensis Fisch,NA
MFH0015,甘草,甘草,甘草,GAN CAO,2002_base,2002,卫法监发〔2002〕51号,,https://www.nhc.gov.cn/wjw/gfxwj/200203/5e9768a72af64db89acb45fe30a810af.shtml,active,GAN CAO,HERB001781,/Detail/?v=HERB001781&label=Herb,GAN CAO SHAO,甘草稍,tip of Licorice root,Radix Glycyrrhizae uralensis
MFH0015,甘草,甘草,甘草,GAN CAO,2002_base,2002,卫法监发〔2002〕51号,,https://www.nhc.gov.cn/wjw/gfxwj/200203/5e9768a72af64db89acb45fe30a810af.shtml,active,GAN CAO,HERB001782,/Detail/?v=HERB001782&label=Herb,GAN CAO TOU,甘草头,Rhizoma Glycyrrhizae uralensis,NA
MFH0015,甘草,甘草,甘草,GAN CAO,2002_base,2002,卫法监发〔2002〕51号,,https://www.nhc.gov.cn/wjw/gfxwj/200203/5e9768a72af64db89acb45fe30a810af.shtml,active,GAN CAO,HERB002000,/Detail/?v=HERB002000&label=Herb,GUANG GUO GAN CAO,光果甘草,Licorice,Glycyrrhiza glabra
MFH0015,甘草,甘草,甘草,GAN CAO,2002_base,2002,卫法监发〔2002〕51号,,https://www.nhc.gov.cn/wjw/gfxwj/200203/5e9768a72af64db89acb45fe30a810af.shtml,active,GAN CAO,HERB002494,/Detail/?v=HERB002494&label=Herb,HUANG GAN CAO,黄甘草,Yellow Licorice,Glycyrrhiza kansuensis
MFH0015,甘草,甘草,甘草,GAN CAO,2002_base,2002,卫法监发〔2002〕51号,,https://www.nhc.gov.cn/wjw/gfxwj/200203/5e9768a72af64db89acb45fe30a810af.shtml,active,GAN CAO,HERB002664,/Detail/?v=HERB002664&label=Herb,JI GAN CAO,积甘草,Echinate Licorice,Glycyrrhiza echinata
