mfh_id,official_name,normalized_name,alias_names,alias_pinyin,source_batch,source_year,announcement_no,restriction_note,source_url,status,search_term,herb_id,herb_link,herb_pinyin_name,herb_chinese_name,herb_english_name,herb_latin_name,match_confidence
MFH0050,香橼,香橼,香橼,XIANG YUAN,2002_base,2002,卫法监发〔2002〕51号,,https://www.nhc.gov.cn/wjw/gfxwj/200203/5e9768a72af64db89acb45fe30a810af.shtml,active,XIANG YUAN,HERB006061,/Detail/?v=HERB006061&label=Herb,XIANG YUAN,香橼,Citri Fructus,NA,exact_chinese
MFH0051,香薷,香薷,香薷,XIANG RU,2002_base,2002,卫法监发〔2002〕51号,,https://www.nhc.gov.cn/wjw/gfxwj/200203/5e9768a72af64db89acb45fe30a810af.shtml,active,XIANG RU,HERB006045,/Detail/?v=HERB006045&label=Herb,XIANG RU,香薷,all-grass of Haichow Elsholtzia,Herba Elsholtziae,exact_chinese
MFH0052,桃仁,桃仁,桃仁,TAO REN,2002_base,2002,卫法监发〔2002〕51号,,https://www.nhc.gov.cn/wjw/gfxwj/200203/5e9768a72af64db89acb45fe30a810af.shtml,active,TAO REN,HERB005412,/Detail/?v=HERB005412&label=Herb,TAO REN,桃仁,Peach Seed,Semen Persicae,exact_chinese
MFH0053,桑叶,桑叶,桑叶,SANG YE,2002_base,2002,卫法监发〔2002〕51号,,https://www.nhc.gov.cn/wjw/gfxwj/200203/5e9768a72af64db89acb45fe30a810af.shtml,active,SANG YE,HERB004834,/Detail/?v=HERB004834&label=Herb,SANG YE,桑叶,Mulberry Leaf,Folium Mori,exact_chinese
MFH0054,桑椹,桑椹,桑椹;桑葚,SANG SHEN;SANG SHEN,2002_base,2002,卫法监发〔2002〕51号,,https://www.nhc.gov.cn/wjw/gfxwj/200203/5e9768a72af64db89acb45fe30a810af.shtml,active,SANG SHEN,HERB004832,/Detail/?v=HERB004832&label=Herb,SANG SHEN,桑椹,Mulberry Fruit,Fructus Mori,exact_chinese
MFH0055,桔红,桔红,桔红;橘红,JU HONG;JU HONG,2002_base,2002,卫法监发〔2002〕51号,,https://www.nhc.gov.cn/wjw/gfxwj/200203/5e9768a72af64db89acb45fe30a810af.shtml,active,JU HONG,HERB003028,/Detail/?v=HERB003028&label=Herb,JU HONG,橘红,Citri Exocarpium Rubrum,NA,exact_chinese
MFH0056,桔梗,桔梗,桔梗,JIE GENG,2002_base,2002,卫法监发〔2002〕51号,,https://www.nhc.gov.cn/wjw/gfxwj/200203/5e9768a72af64db89acb45fe30a810af.shtml,active,JIE GENG,HERB002876,/Detail/?v=HERB002876&label=Herb,JIE GENG,桔梗,Platycodon Root,Radix Platycodi,exact_chinese
MFH0057,益智仁,益智仁,益智仁,YI ZHI REN,2002_base,2002,卫法监发〔2002〕51号,,https://www.nhc.gov.cn/wjw/gfxwj/200203/5e9768a72af64db89acb45fe30a810af.shtml,active,YI ZHI REN,HERB006572,/Detail/?v=HERB006572&label=Herb,YI ZHI REN,益智仁,Sharpleaf Galangal,Alpinia oxyphylla,exact_chinese
MFH0058,荷叶,荷叶,荷叶,HE YE,2002_base,2002,卫法监发〔2002〕51号,,https://www.nhc.gov.cn/wjw/gfxwj/200203/5e9768a72af64db89acb45fe30a810af.shtml,active,HE YE,HERB002191,/Detail/?v=HERB002191&label=Herb,HE YE,荷叶,Lotus leaf,Folium Nelumbinis,exact_chinese
MFH0059,莱菔子,莱菔子,莱菔子,LAI FU ZI,2002_base,2002,卫法监发〔2002〕51号,,https://www.nhc.gov.cn/wjw/gfxwj/200203/5e9768a72af64db89acb45fe30a810af.shtml,active,LAI FU ZI,HERB003245,/Detail/?v=HERB003245&label=Herb,LAI FU ZI,莱菔子,Radish Seed,Semen Raphani,exact_chinese
MFH0060,莲子,莲子,莲子,LIAN ZI,2002_base,2002,卫法监发〔2002〕51号,,https://www.nhc.gov.cn/wjw/gfxwj/200203/5e9768a72af64db89acb45fe30a810af.shtml,active,LIAN ZI,HERB003376,/Detail/?v=HERB003376&label=Herb,LIAN ZI,莲子,Hindu Lotus Seed,Nelumbo nucifera,exact_chinese
MFH0061,高良姜,高良姜,高良姜,GAO LIANG JIANG,2002_base,2002,卫法监发〔2002〕51号,,https://www.nhc.gov.cn/wjw/gfxwj/200203/5e9768a72af64db89acb45fe30a810af.shtml,active,GAO LIANG JIANG,HERB001852,/Detail/?v=HERB001852&label=Herb,GAO LIANG JIANG,高良姜,Alpiniae Officirum Rhizome,NA,exact_chinese
MFH0062,淡竹叶,淡竹叶,淡竹叶,DAN ZHU YE,2002_base,2002,卫法监发〔2002〕51号,,https://www.nhc.gov.cn/wjw/gfxwj/200203/5e9768a72af64db89acb45fe30a810af.shtml,active,DAN ZHU YE,HERB001204,/Detail/?v=HERB001204&label=Herb,DAN ZHU YE,淡竹叶,Common Lophatherum,Lophatherum gracile,exact_chinese
MFH0063,淡豆豉,淡豆豉,淡豆豉,DAN DOU CHI,2002_base,2002,卫法监发〔2002〕51号,,https://www.nhc.gov.cn/wjw/gfxwj/200203/5e9768a72af64db89acb45fe30a810af.shtml,active,DAN DOU CHI,HERB001175,/Detail/?v=HERB001175&label=Herb,DAN DOU CHI,淡豆豉,Fermented Soybean,Semen Sojae Praeparata,exact_chinese
MFH0064,菊花,菊花,菊花,JU HUA,2002_base,2002,卫法监发〔2002〕51号,,https://www.nhc.gov.cn/wjw/gfxwj/200203/5e9768a72af64db89acb45fe30a810af.shtml,active,JU HUA,HERB003031,/Detail/?v=HERB003031&label=Herb,JU HUA,菊花,Chrysanthemum Flower,Flos Chrysanthemi,exact_chinese
MFH0065,菊苣,菊苣,菊苣,JU JU,2002_base,2002,卫法监发〔2002〕51号,,https://www.nhc.gov.cn/wjw/gfxwj/200203/5e9768a72af64db89acb45fe30a810af.shtml,active,JU JU,HERB003039,/Detail/?v=HERB003039&label=Herb,JU JU,菊苣,Chicory Herb,Herba Cichorii,exact_chinese
MFH0066,黄芥子,黄芥子,黄芥子;芥子;白芥子,HUANG JIE ZI;JIE ZI;BAI JIE ZI,2002_base,2002,卫法监发〔2002〕51号,,https://www.nhc.gov.cn/wjw/gfxwj/200203/5e9768a72af64db89acb45fe30a810af.shtml,active,JIE ZI,HERB000225,/Detail/?v=HERB000225&label=Herb,BAI JIE ZI,白芥子,White Mustard Seed,Sinapis alba,exact_chinese
MFH0066,黄芥子,黄芥子,黄芥子;芥子;白芥子,HUANG JIE ZI;JIE ZI;BAI JIE ZI,2002_base,2002,卫法监发〔2002〕51号,,https://www.nhc.gov.cn/wjw/gfxwj/200203/5e9768a72af64db89acb45fe30a810af.shtml,active,JIE ZI,HERB002887,/Detail/?v=HERB002887&label=Herb,JIE ZI,芥子,Mustard Seed,Semen Sipis,exact_chinese
MFH0067,黄精,黄精,黄精,HUANG JING,2002_base,2002,卫法监发〔2002〕51号,,https://www.nhc.gov.cn/wjw/gfxwj/200203/5e9768a72af64db89acb45fe30a810af.shtml,active,HUANG JING,HERB002534,/Detail/?v=HERB002534&label=Herb,HUANG JING,黄精,Rhizome of Fragrant Solomonseal,Rhizoma Polygoti,exact_chinese
MFH0068,紫苏,紫苏,紫苏,ZI SU,2002_base,2002,卫法监发〔2002〕51号,,https://www.nhc.gov.cn/wjw/gfxwj/200203/5e9768a72af64db89acb45fe30a810af.shtml,active,ZI SU,HERB007208,/Detail/?v=HERB007208&label=Herb,ZI SU,紫苏,Perilla Frutescens,NA,exact_chinese
MFH0069,紫苏籽,紫苏籽,紫苏籽,ZI SU ZI,2002_base,2002,卫法监发〔2002〕51号,,https://www.nhc.gov.cn/wjw/gfxwj/200203/5e9768a72af64db89acb45fe30a810af.shtml,active,ZI SU ZI,HERB007213,/Detail/?v=HERB007213&label=Herb,ZI SU ZI,紫苏子,Perilia Fruit,Fructus Perillae,exact_pinyin
